2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1005d, value=0x016400c607aa 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1005e, value=0x016400c607bb 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1005f, value=0x016400c607cc 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10060, value=0x016400c607dd 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10061, value=0x016400c607ee 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10062, value=0x016400c607ff 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10063, value=0x016400c60810 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10064, value=0x016400c60821 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10065, value=0x016400c60832 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10066, value=0x016400c60843 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10067, value=0x016400c60854 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10068, value=0x016400c60865 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10069, value=0x016400c60876 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1006a, value=0x016400c60887 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1006b, value=0x016400c60898 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1006c, value=0x016400c608a9 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1006d, value=0x016400c608ba 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1006e, value=0x016400c608cb 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1006f, value=0x016400c608dc 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10070, value=0x016400c608ed 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10071, value=0x016400c608fe 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10072, value=0x016400c6090f 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10073, value=0x016400c60920 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10074, value=0x016400c60931 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10075, value=0x016400c60942 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10076, value=0x016400c60953 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10077, value=0x016400c60964 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10078, value=0x016400c60975 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10079, value=0x016400c60986 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1007a, value=0x016400c60997 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1007b, value=0x016400c609a8 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1007c, value=0x016400c609b9 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1007d, value=0x016400c609ca 
